project,product_id,CORDEX_domain,institute_id,driving_model_id,experiment_id,member,model_id,rcm_version_id,frequency,variable_id,version,time_range,uri,institution_id,source_id,simulation_id,grid_label,grid_id,time_reduction,realm,level_type,time_min,time_max,path,format,opendap_url
CORDEX,output,EUR-11,SMHI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,SMHI-RCA4,v1,day,evspsblpot,v20131026,19760101-19801231,data/eurocordex/SMHI/historical/evspsblpot/evspsblpot_EUR-11_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_SMHI-RCA4_v1_day_19760101-19801231.nc,SMHI,SMHI-RCA4,r1i1p1,None,None,None,None,None,19760101,19801231,data/eurocordex/SMHI/historical/evspsblpot/evspsblpot_EUR-11_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_SMHI-RCA4_v1_day_19760101-19801231.nc,netcdf,http://esgf1.dkrz.de/thredds/dodsC/cordex/EUR-11/SMHI/CNRM-CERFACS-CNRM-CM5/historical/r1i1p1/SMHI-RCA4/v1/day/evspsblpot/v20131026/evspsblpot_EUR-11_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_SMHI-RCA4_v1_day_19760101-19801231.nc
CORDEX,output,EUR-11,SMHI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,SMHI-RCA4,v1,day,evspsblpot,v20131026,19810101-19851231,data/eurocordex/SMHI/historical/evspsblpot/evspsblpot_EUR-11_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_SMHI-RCA4_v1_day_19810101-19851231.nc,SMHI,SMHI-RCA4,r1i1p1,None,None,None,None,None,19810101,19851231,data/eurocordex/SMHI/historical/evspsblpot/evspsblpot_EUR-11_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_SMHI-RCA4_v1_day_19810101-19851231.nc,netcdf,http://esgf1.dkrz.de/thredds/dodsC/cordex/EUR-11/SMHI/CNRM-CERFACS-CNRM-CM5/historical/r1i1p1/SMHI-RCA4/v1/day/evspsblpot/v20131026/evspsblpot_EUR-11_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_SMHI-RCA4_v1_day_19810101-19851231.nc
CORDEX,output,EUR-11,SMHI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,SMHI-RCA4,v1,day,evspsblpot,v20131026,19860101-19901231,data/eurocordex/SMHI/historical/evspsblpot/evspsblpot_EUR-11_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_SMHI-RCA4_v1_day_19860101-19901231.nc,SMHI,SMHI-RCA4,r1i1p1,None,None,None,None,None,19860101,19901231,data/eurocordex/SMHI/historical/evspsblpot/evspsblpot_EUR-11_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_SMHI-RCA4_v1_day_19860101-19901231.nc,netcdf,http://esgf1.dkrz.de/thredds/dodsC/cordex/EUR-11/SMHI/CNRM-CERFACS-CNRM-CM5/historical/r1i1p1/SMHI-RCA4/v1/day/evspsblpot/v20131026/evspsblpot_EUR-11_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_SMHI-RCA4_v1_day_19860101-19901231.nc
CORDEX,output,EUR-11,SMHI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,SMHI-RCA4,v1,day,evspsblpot,v20131026,19910101-19951231,data/eurocordex/SMHI/historical/evspsblpot/evspsblpot_EUR-11_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_SMHI-RCA4_v1_day_19910101-19951231.nc,SMHI,SMHI-RCA4,r1i1p1,None,None,None,None,None,19910101,19951231,data/eurocordex/SMHI/historical/evspsblpot/evspsblpot_EUR-11_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_SMHI-RCA4_v1_day_19910101-19951231.nc,netcdf,http://esgf1.dkrz.de/thredds/dodsC/cordex/EUR-11/SMHI/CNRM-CERFACS-CNRM-CM5/historical/r1i1p1/SMHI-RCA4/v1/day/evspsblpot/v20131026/evspsblpot_EUR-11_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_SMHI-RCA4_v1_day_19910101-19951231.nc
CORDEX,output,EUR-11,SMHI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,SMHI-RCA4,v1,day,evspsblpot,v20131026,19960101-20001231,data/eurocordex/SMHI/historical/evspsblpot/evspsblpot_EUR-11_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_SMHI-RCA4_v1_day_19960101-20001231.nc,SMHI,SMHI-RCA4,r1i1p1,None,None,None,None,None,19960101,20001231,data/eurocordex/SMHI/historical/evspsblpot/evspsblpot_EUR-11_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_SMHI-RCA4_v1_day_19960101-20001231.nc,netcdf,http://esgf1.dkrz.de/thredds/dodsC/cordex/EUR-11/SMHI/CNRM-CERFACS-CNRM-CM5/historical/r1i1p1/SMHI-RCA4/v1/day/evspsblpot/v20131026/evspsblpot_EUR-11_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_SMHI-RCA4_v1_day_19960101-20001231.nc
CORDEX,output,EUR-11,SMHI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,SMHI-RCA4,v1,day,evspsblpot,v20131026,20010101-20051231,data/eurocordex/SMHI/historical/evspsblpot/evspsblpot_EUR-11_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_SMHI-RCA4_v1_day_20010101-20051231.nc,SMHI,SMHI-RCA4,r1i1p1,None,None,None,None,None,20010101,20051231,data/eurocordex/SMHI/historical/evspsblpot/evspsblpot_EUR-11_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_SMHI-RCA4_v1_day_20010101-20051231.nc,netcdf,http://esgf1.dkrz.de/thredds/dodsC/cordex/EUR-11/SMHI/CNRM-CERFACS-CNRM-CM5/historical/r1i1p1/SMHI-RCA4/v1/day/evspsblpot/v20131026/evspsblpot_EUR-11_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_SMHI-RCA4_v1_day_20010101-20051231.nc
CORDEX,output,EUR-11,SMHI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,SMHI-RCA4,v1,day,mrso,v20131026,19760101-19801231,data/eurocordex/SMHI/historical/mrso/mrso_EUR-11_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_SMHI-RCA4_v1_day_19760101-19801231.nc,SMHI,SMHI-RCA4,r1i1p1,None,None,None,None,None,19760101,19801231,data/eurocordex/SMHI/historical/mrso/mrso_EUR-11_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_SMHI-RCA4_v1_day_19760101-19801231.nc,netcdf,http://esgf1.dkrz.de/thredds/dodsC/cordex/EUR-11/SMHI/CNRM-CERFACS-CNRM-CM5/historical/r1i1p1/SMHI-RCA4/v1/day/mrso/v20131026/mrso_EUR-11_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_SMHI-RCA4_v1_day_19760101-19801231.nc
CORDEX,output,EUR-11,SMHI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,SMHI-RCA4,v1,day,mrso,v20131026,19810101-19851231,data/eurocordex/SMHI/historical/mrso/mrso_EUR-11_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_SMHI-RCA4_v1_day_19810101-19851231.nc,SMHI,SMHI-RCA4,r1i1p1,None,None,None,None,None,19810101,19851231,data/eurocordex/SMHI/historical/mrso/mrso_EUR-11_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_SMHI-RCA4_v1_day_19810101-19851231.nc,netcdf,http://esgf1.dkrz.de/thredds/dodsC/cordex/EUR-11/SMHI/CNRM-CERFACS-CNRM-CM5/historical/r1i1p1/SMHI-RCA4/v1/day/mrso/v20131026/mrso_EUR-11_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_SMHI-RCA4_v1_day_19810101-19851231.nc
CORDEX,output,EUR-11,SMHI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,SMHI-RCA4,v1,day,mrso,v20131026,19860101-19901231,data/eurocordex/SMHI/historical/mrso/mrso_EUR-11_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_SMHI-RCA4_v1_day_19860101-19901231.nc,SMHI,SMHI-RCA4,r1i1p1,None,None,None,None,None,19860101,19901231,data/eurocordex/SMHI/historical/mrso/mrso_EUR-11_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_SMHI-RCA4_v1_day_19860101-19901231.nc,netcdf,http://esgf1.dkrz.de/thredds/dodsC/cordex/EUR-11/SMHI/CNRM-CERFACS-CNRM-CM5/historical/r1i1p1/SMHI-RCA4/v1/day/mrso/v20131026/mrso_EUR-11_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_SMHI-RCA4_v1_day_19860101-19901231.nc
CORDEX,output,EUR-11,SMHI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,SMHI-RCA4,v1,day,mrso,v20131026,19910101-19951231,data/eurocordex/SMHI/historical/mrso/mrso_EUR-11_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_SMHI-RCA4_v1_day_19910101-19951231.nc,SMHI,SMHI-RCA4,r1i1p1,None,None,None,None,None,19910101,19951231,data/eurocordex/SMHI/historical/mrso/mrso_EUR-11_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_SMHI-RCA4_v1_day_19910101-19951231.nc,netcdf,http://esgf1.dkrz.de/thredds/dodsC/cordex/EUR-11/SMHI/CNRM-CERFACS-CNRM-CM5/historical/r1i1p1/SMHI-RCA4/v1/day/mrso/v20131026/mrso_EUR-11_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_SMHI-RCA4_v1_day_19910101-19951231.nc
